"Date","Price","Open","High","Low","Change %"
"02/01/2010","0.086","0.005","0.101","0.005","1,620.00%"
"01/01/2010","0.005","0.041","0.076","0.003","-86.84%"
"12/01/2009","0.038","0.079","0.203","0.003","-47.95%"
"11/01/2009","0.073","0.030","0.507","0.015","386.67%"
"10/01/2009","0.015","0.066","0.068","0.008","-82.56%"
"09/01/2009","0.086","0.112","0.124","0.008","-23.21%"
"08/01/2009","0.112","0.127","0.162","0.005","-15.15%"
"07/01/2009","0.132","0.122","0.182","-0.005","8.20%"
"06/01/2009","0.122","0.147","0.177","0.038","-14.08%"
"05/01/2009","0.142","0.046","0.228","0.038","273.68%"
"04/01/2009","0.038","0.162","0.213","0.020","-75.00%"
"03/01/2009","0.152","0.152","0.182","0.005","-6.17%"
"02/01/2009","0.162","0.152","0.299","0.117","6.58%"
"01/01/2009","0.152","0.035","0.162","0.005","322.22%"
"12/01/2008","0.036","0.041","0.801","-0.005","0.00%"
"11/01/2008","0.036","0.117","0.411","0.005","-69.23%"
"10/01/2008","0.117","1.731","1.746","0.010","-78.84%"
"09/01/2008","0.553","1.619","1.797","-0.005","-66.26%"
"08/01/2008","1.639","1.522","1.878","1.472","8.83%"
"07/01/2008","1.506","1.526","1.955","1.129","-3.28%"
"06/01/2008","1.557","2.000","2.026","1.206","-22.58%"
"05/01/2008","2.011","1.185","2.077","1.099","66.75%"
"04/01/2008","1.206","1.211","1.700","0.544","3.08%"
"03/01/2008","1.170","2.077","2.189","0.508","-39.81%"
"02/01/2008","1.944","1.567","2.572","1.547","33.61%"
"01/01/2008","1.455","2.617","3.471","1.455","-44.61%"
"12/01/2007","2.627","3.654","3.780","2.312","-27.79%"
"11/01/2007","3.638","4.003","4.018","3.265","-8.87%"
"10/01/2007","3.992","3.992","3.992","3.992","21.30%"
"09/01/2007","3.291","3.291","3.291","3.291","-21.64%"
"08/01/2007","4.200","4.200","4.200","4.200","-17.79%"
"07/01/2007","5.109","5.109","5.109","5.109","19.79%"
"06/01/2007","4.265","4.265","4.265","4.265","-10.34%"
"05/01/2007","4.757","4.757","4.757","4.757","0.17%"
"04/01/2007","4.749","4.749","4.749","4.749","-6.26%"
"03/01/2007","5.066","5.066","5.066","5.066","-3.17%"
"02/01/2007","5.232","5.232","5.232","5.232","4.91%"
"01/01/2007","4.987","4.987","4.987","4.987","5.70%"
"12/01/2006","4.718","4.718","4.718","4.718","-10.17%"
"11/01/2006","5.252","5.252","5.252","5.252","1.16%"
"10/01/2006","5.192","5.192","5.192","5.192","13.34%"
"09/01/2006","4.581","4.581","4.581","4.581","-10.60%"
"08/01/2006","5.124","5.124","5.124","5.124","2.19%"
"07/01/2006","5.014","5.014","5.014","5.014","11.82%"
"06/01/2006","4.484","4.484","4.484","4.484","-5.64%"
"05/01/2006","4.752","4.752","4.752","4.752","3.73%"
"04/01/2006","4.581","4.581","4.581","4.581","-1.55%"
"03/01/2006","4.653","4.653","4.653","4.653","3.95%"
"02/01/2006","4.476","4.476","4.476","4.476","2.68%"
"01/01/2006","4.359","4.359","4.359","4.359","8.16%"
"12/01/2005","4.030","4.030","4.030","4.030","0.85%"
"11/01/2005","3.996","3.996","3.996","3.996","6.84%"
"10/01/2005","3.740","3.740","3.740","3.740","19.72%"
"09/01/2005","3.124","3.124","3.124","3.124","-8.12%"
"08/01/2005","3.400","3.400","3.400","3.400","5.07%"
"07/01/2005","3.236","3.236","3.236","3.236","8.16%"
"06/01/2005","2.992","2.992","2.992","2.992","7.12%"
"05/01/2005","2.793","2.793","2.793","2.793","4.96%"
"04/01/2005","2.661","2.661","2.661","2.661","1.56%"
"03/01/2005","2.620","2.620","2.620","2.620","4.67%"
"02/01/2005","2.503","2.503","2.503","2.503","24.53%"
"01/01/2005","2.010","2.010","2.010","2.010","7.31%"
"12/01/2004","1.873","1.873","1.873","1.873","-9.39%"
"11/01/2004","2.067","2.067","2.067","2.067","18.38%"
